freq_hz,mag_db
0.183105,2.05
0.366211,-1.25
0.549316,-2.92
0.732422,-2.43
0.915527,-2.53
1.098633,-3.97
1.281738,5.03
1.464844,3.32
1.647949,7.61
1.831055,-5.80
2.014160,10.02
2.197266,11.72
2.380371,14.38
2.563477,12.24
2.746582,-0.07
2.929688,6.86
3.112793,9.43
3.295898,-2.39
3.479004,3.44
3.662109,7.29
3.845215,15.30
4.028320,9.04
4.211426,9.99
4.394531,12.49
4.577637,6.49
4.760742,12.15
4.943848,8.52
5.126953,7.58
5.310059,7.44
5.493164,14.93
5.676270,15.19
5.859375,17.89
6.042480,14.03
6.225586,11.76
6.408691,13.25
6.591797,6.93
6.774902,6.26
6.958008,1.24
7.141113,6.17
7.324219,9.84
7.507324,8.25
7.690430,13.17
7.873535,6.23
8.056641,6.58
8.239746,13.48
8.422852,-9.17
8.605957,12.80
8.789062,1.79
8.972168,5.99
9.155273,12.16
9.338379,7.80
9.521484,10.04
9.704590,12.08
9.887695,15.58
10.070801,-0.25
10.253906,18.93
10.437012,17.26
10.620117,9.66
10.803223,19.73
10.986328,20.09
11.169434,15.85
11.352539,20.01
11.535645,22.02
11.718750,16.98
11.901855,16.98
12.084961,19.25
12.268066,16.69
12.451172,17.61
12.634277,17.10
12.817383,15.60
13.000488,0.72
13.183594,11.27
13.366699,15.09
13.549805,9.21
13.732910,14.90
13.916016,18.78
14.099121,19.70
14.282227,10.30
14.465332,18.43
14.648438,17.84
14.831543,5.46
15.014648,6.45
15.197754,19.92
15.380859,21.17
15.563965,24.50
15.747070,26.31
15.930176,28.30
16.113281,27.83
16.296387,30.54
16.479492,27.91
16.662598,27.02
16.845703,25.71
17.028809,20.14
17.211914,22.75
17.395020,18.63
17.578125,10.22
17.761230,15.81
17.944336,12.87
18.127441,4.16
18.310547,12.15
18.493652,11.36
18.676758,19.76
18.859863,21.47
19.042969,21.54
19.226074,21.97
19.409180,20.92
19.592285,18.60
19.775391,9.80
19.958496,12.56
20.141602,19.06
20.324707,20.86
20.507812,23.90
20.690918,24.59
20.874023,24.70
21.057129,23.49
21.240234,21.12
21.423340,18.08
21.606445,15.39
21.789551,7.29
21.972656,15.07
22.155762,17.93
22.338867,20.65
22.521973,23.14
22.705078,23.09
22.888184,24.95
23.071289,23.89
23.254395,23.25
23.437500,20.72
23.620605,17.97
23.803711,16.16
23.986816,20.04
24.169922,23.07
24.353027,25.07
24.536133,26.92
24.719238,27.67
24.902344,28.22
25.085449,27.58
25.268555,27.73
25.451660,27.09
25.634766,25.19
25.817871,23.73
26.000977,19.87
26.184082,11.78
26.367188,13.68
26.550293,18.85
26.733398,22.89
26.916504,25.08
27.099609,27.08
27.282715,27.61
27.465820,27.41
27.648926,27.55
27.832031,27.21
28.015137,25.63
28.198242,24.74
28.381348,22.15
28.564453,19.76
28.747559,18.32
28.930664,16.55
29.113770,18.31
29.296875,20.80
29.479980,21.12
29.663086,22.97
29.846191,23.12
30.029297,22.72
30.212402,22.35
30.395508,23.30
30.578613,25.00
30.761719,27.30
30.944824,28.52
31.127930,28.97
31.311035,28.18
31.494141,25.92
31.677246,21.40
31.860352,14.15
32.043457,15.51
32.226562,20.48
32.409668,22.27
32.592773,19.47
32.775879,15.39
32.958984,19.69
33.142090,26.04
33.325195,28.98
33.508301,29.99
33.691406,29.49
33.874512,27.47
34.057617,26.19
34.240723,27.69
34.423828,28.65
34.606934,30.43
34.790039,29.26
34.973145,26.60
35.156250,21.75
35.339355,23.85
35.522461,25.31
35.705566,23.74
35.888672,22.72
36.071777,9.68
36.254883,12.00
36.437988,22.29
36.621094,23.86
36.804199,26.82
36.987305,30.62
37.170410,31.59
37.353516,32.68
37.536621,32.59
37.719727,31.99
37.902832,31.50
38.085938,31.00
38.269043,29.56
38.452148,30.91
38.635254,33.57
38.818359,36.66
39.001465,38.64
39.184570,38.99
39.367676,37.96
39.550781,35.58
39.733887,32.57
39.916992,33.49
40.100098,34.64
40.283203,35.34
40.466309,34.27
40.649414,31.95
40.832520,29.50
41.015625,28.64
41.198730,29.43
41.381836,28.25
41.564941,26.13
41.748047,23.53
41.931152,18.05
42.114258,9.26
42.297363,16.01
42.480469,19.35
42.663574,20.97
42.846680,16.00
43.029785,14.93
43.212891,17.06
43.395996,22.68
43.579102,26.05
43.762207,29.70
43.945312,32.24
44.128418,33.25
44.311523,32.58
44.494629,30.05
44.677734,26.56
44.860840,21.32
45.043945,23.02
45.227051,26.16
45.410156,28.43
45.593262,29.45
45.776367,30.20
45.959473,30.68
46.142578,31.15
46.325684,31.01
46.508789,28.57
46.691895,23.26
46.875000,7.50
47.058105,23.93
47.241211,25.59
47.424316,25.51
47.607422,25.96
47.790527,30.10
47.973633,32.47
48.156738,32.78
48.339844,31.98
48.522949,30.59
48.706055,28.94
48.889160,23.67
49.072266,13.75
49.255371,25.29
49.438477,28.23
49.621582,27.90
49.804688,24.17
49.987793,23.75
50.170898,27.58
50.354004,26.15
50.537109,17.17
50.720215,19.66
50.903320,26.04
51.086426,25.47
51.269531,21.63
51.452637,28.71
51.635742,31.24
51.818848,30.98
52.001953,22.67
52.185059,32.42
52.368164,38.64
52.551270,41.56
52.734375,41.68
52.917480,40.56
53.100586,35.82
53.283691,20.54
53.466797,33.71
53.649902,38.42
53.833008,41.71
54.016113,43.53
