freq_hz,mag_db
0.183105,10.12
0.366211,6.95
0.549316,10.24
0.732422,6.92
0.915527,10.19
1.098633,6.69
1.281738,9.58
1.464844,4.81
1.647949,4.62
1.831055,10.51
2.014160,12.33
2.197266,5.25
2.380371,7.04
2.563477,0.34
2.746582,9.70
2.929688,10.01
3.112793,-5.14
3.295898,3.37
3.479004,12.44
3.662109,-2.60
3.845215,0.00
4.028320,9.99
4.211426,13.94
4.394531,2.23
4.577637,8.50
4.760742,9.47
4.943848,5.38
5.126953,13.71
5.310059,16.64
5.493164,13.26
5.676270,9.25
5.859375,9.95
6.042480,12.66
6.225586,7.29
6.408691,1.52
6.591797,10.64
6.774902,8.61
6.958008,18.46
7.141113,20.21
7.324219,19.12
7.507324,12.48
7.690430,0.93
7.873535,7.46
8.056641,8.87
8.239746,7.08
8.422852,2.28
8.605957,5.47
8.789062,5.51
8.972168,1.88
9.155273,9.42
9.338379,12.80
9.521484,6.23
9.704590,13.05
9.887695,10.93
10.070801,19.64
10.253906,15.53
10.437012,16.39
10.620117,21.16
10.803223,18.58
10.986328,22.64
11.169434,28.92
11.352539,24.34
11.535645,8.23
11.718750,24.50
11.901855,24.95
12.084961,20.40
12.268066,21.03
12.451172,11.66
12.634277,20.22
12.817383,16.96
13.000488,20.18
13.183594,21.90
13.366699,27.06
13.549805,21.51
13.732910,20.95
13.916016,26.49
14.099121,13.77
14.282227,26.71
14.465332,25.75
14.648438,4.12
14.831543,20.76
15.014648,17.46
15.197754,19.01
15.380859,15.48
15.563965,23.91
15.747070,22.49
15.930176,9.78
16.113281,16.03
16.296387,19.56
16.479492,15.57
16.662598,21.64
16.845703,22.84
17.028809,19.68
17.211914,15.14
17.395020,20.57
17.578125,20.03
17.761230,22.71
17.944336,17.87
18.127441,24.56
18.310547,17.72
18.493652,22.30
18.676758,21.74
18.859863,11.32
19.042969,19.66
19.226074,3.94
19.409180,19.50
19.592285,13.92
19.775391,20.92
19.958496,-6.98
20.141602,25.20
20.324707,25.24
20.507812,25.67
20.690918,28.26
20.874023,29.09
21.057129,25.90
21.240234,17.89
21.423340,22.18
21.606445,24.19
21.789551,26.71
21.972656,22.32
22.155762,22.35
22.338867,26.51
22.521973,27.71
22.705078,18.22
22.888184,25.46
23.071289,22.86
23.254395,13.47
23.437500,23.70
23.620605,28.01
23.803711,28.58
23.986816,19.80
24.169922,14.53
24.353027,18.07
24.536133,20.90
24.719238,24.44
24.902344,29.79
25.085449,7.24
25.268555,32.76
25.451660,30.87
25.634766,21.89
25.817871,27.42
26.000977,15.52
26.184082,12.67
26.367188,19.17
26.550293,22.26
26.733398,27.50
26.916504,30.98
27.099609,32.60
27.282715,31.28
27.465820,23.42
27.648926,23.43
27.832031,13.35
28.015137,25.37
28.198242,24.41
28.381348,10.71
28.564453,26.12
28.747559,25.48
28.930664,19.79
29.113770,25.40
29.296875,23.97
29.479980,22.50
29.663086,12.39
29.846191,16.24
30.029297,22.42
30.212402,24.80
30.395508,21.98
30.578613,14.06
30.761719,17.78
30.944824,20.91
31.127930,21.82
31.311035,17.85
31.494141,23.40
31.677246,25.85
31.860352,23.85
32.043457,12.12
32.226562,26.61
32.409668,26.50
32.592773,25.38
32.775879,23.37
32.958984,13.05
33.142090,23.93
33.325195,24.79
33.508301,25.51
33.691406,23.32
33.874512,26.03
34.057617,30.21
34.240723,32.86
34.423828,31.04
34.606934,31.35
34.790039,34.31
34.973145,37.52
35.156250,25.79
35.339355,33.05
35.522461,19.49
35.705566,23.80
35.888672,28.75
36.071777,30.47
36.254883,22.13
36.437988,22.28
36.621094,25.52
36.804199,19.54
36.987305,30.17
37.170410,29.08
37.353516,24.27
37.536621,27.63
37.719727,29.03
37.902832,29.82
38.085938,-1.54
38.269043,26.79
38.452148,34.43
38.635254,29.60
38.818359,29.73
39.001465,35.62
39.184570,34.64
39.367676,26.46
39.550781,32.61
39.733887,29.97
39.916992,36.35
40.100098,30.34
40.283203,25.61
40.466309,28.69
40.649414,23.56
40.832520,26.73
41.015625,29.38
41.198730,31.77
41.381836,26.28
41.564941,33.73
41.748047,30.91
41.931152,25.20
42.114258,27.26
42.297363,26.69
42.480469,25.62
42.663574,22.42
42.846680,33.26
43.029785,35.16
43.212891,29.37
43.395996,28.31
43.579102,29.30
43.762207,31.54
43.945312,26.06
44.128418,30.44
44.311523,32.83
44.494629,28.41
44.677734,31.87
44.860840,35.74
45.043945,32.57
45.227051,24.50
45.410156,22.95
45.593262,22.82
45.776367,35.73
45.959473,32.80
46.142578,29.25
46.325684,30.28
46.508789,22.21
46.691895,28.69
46.875000,29.66
47.058105,31.34
47.241211,26.06
47.424316,27.62
47.607422,27.16
47.790527,28.31
47.973633,31.47
48.156738,32.72
48.339844,22.14
48.522949,21.91
48.706055,32.59
48.889160,35.63
49.072266,38.63
49.255371,43.48
49.438477,34.85
49.621582,39.56
49.804688,35.66
49.987793,30.50
50.170898,40.70
50.354004,36.11
50.537109,36.87
50.720215,32.39
50.903320,35.77
51.086426,33.49
51.269531,36.63
51.452637,31.87
51.635742,35.74
51.818848,34.22
52.001953,39.71
52.185059,30.60
52.368164,36.16
52.551270,31.81
52.734375,30.75
52.917480,25.98
53.100586,22.91
53.283691,33.67
53.466797,20.00
53.649902,39.90
53.833008,36.22
54.016113,42.20
54.199219,35.15
54.382324,29.12
54.565430,22.65
54.748535,26.02
54.931641,27.41
55.114746,17.12
55.297852,23.04
55.480957,29.25
55.664062,29.95
55.847168,34.30
56.030273,18.87
56.213379,29.74
56.396484,14.06
56.579590,23.38
56.762695,24.15
56.945801,20.47
57.128906,17.72
57.312012,22.91
57.495117,19.19
57.678223,28.81
57.861328,21.17
58.044434,17.88
58.227539,22.17
58.410645,13.31
58.593750,27.09
58.776855,20.46
58.959961,14.35
59.143066,23.04
59.326172,25.79
59.509277,26.75
59.692383,26.11
59.875488,20.78
60.058594,19.28
60.241699,23.42
60.424805,25.13
60.607910,17.13
60.791016,18.50
60.974121,22.12
61.157227,10.93
61.340332,19.31
61.523438,20.10
61.706543,18.72
61.889648,22.66
62.072754,27.23
62.255859,23.96
62.438965,24.23
62.622070,25.19
62.805176,23.76
62.988281,29.45
63.171387,31.32
63.354492,23.71
63.537598,23.35
63.720703,24.06
63.903809,23.74
64.086914,30.13
64.270020,18.97
64.453125,24.02
64.636230,26.57
64.819336,24.29
65.002441,24.74
65.185547,20.00
65.368652,15.42
65.551758,29.16
65.734863,26.00
65.917969,10.40
66.101074,16.16
66.284180,17.87
66.467285,28.92
66.650391,20.75
66.833496,7.22
67.016602,24.80
67.199707,24.80
67.382812,8.90
67.565918,25.87
67.749023,21.01
67.932129,21.76
68.115234,19.14
68.298340,5.43
68.481445,7.12
68.664551,22.59
68.847656,20.91
69.030762,19.88
69.213867,22.17
69.396973,27.54
69.580078,29.28
69.763184,27.46
69.946289,21.83
70.129395,29.74
70.312500,28.09
70.495605,29.37
70.678711,22.33
70.861816,26.51
71.044922,19.81
71.228027,20.68
71.411133,29.66
71.594238,28.33
71.777344,22.33
71.960449,26.51
72.143555,19.18
72.326660,31.44
72.509766,27.56
72.692871,29.96
72.875977,26.92
73.059082,32.11
73.242188,33.66
73.425293,29.53
73.608398,28.15
73.791504,22.61
73.974609,19.83
74.157715,20.96
74.340820,9.64
74.523926,29.14
74.707031,18.22
74.890137,25.89
75.073242,19.59
75.256348,26.78
75.439453,27.08
75.622559,3.99
75.805664,30.82
75.988770,31.09
76.171875,28.92
76.354980,19.85
76.538086,28.94
76.721191,21.16
76.904297,29.16
77.087402,30.71
77.270508,26.32
77.453613,15.25
77.636719,30.28
77.819824,28.88
78.002930,22.97
78.186035,18.20
78.369141,27.58
78.552246,28.70
78.735352,17.28
78.918457,22.45
79.101562,20.52
79.284668,23.99
79.467773,30.90
79.650879,21.80
79.833984,25.04
80.017090,34.18
80.200195,27.81
80.383301,32.14
80.566406,28.95
80.749512,26.92
80.932617,21.48
81.115723,29.11
81.298828,30.70
81.481934,25.03
81.665039,28.40
81.848145,27.09
82.031250,31.28
82.214355,31.17
82.397461,27.99
82.580566,11.77
82.763672,19.78
82.946777,16.73
83.129883,27.13
83.312988,22.65
83.496094,24.32
83.679199,30.64
83.862305,27.68
84.045410,28.52
84.228516,21.20
84.411621,24.20
84.594727,23.01
84.777832,12.76
84.960938,28.49
85.144043,24.61
85.327148,24.34
85.510254,25.45
85.693359,22.38
85.876465,22.09
86.059570,23.93
86.242676,28.92
86.425781,30.33
86.608887,25.30
86.791992,28.75
86.975098,20.40
87.158203,16.07
87.341309,12.22
87.524414,21.22
87.707520,21.41
87.890625,20.91
88.073730,16.78
88.256836,19.79
88.439941,17.07
88.623047,20.97
88.806152,15.46
88.989258,10.26
89.172363,16.95
89.355469,20.88
89.538574,23.66
89.721680,23.17
89.904785,26.97
90.087891,22.60
90.270996,20.24
90.454102,20.44
90.637207,9.87
90.820312,18.19
91.003418,8.75
91.186523,17.12
91.369629,17.52
91.552734,-3.42
91.735840,17.06
91.918945,22.58
92.102051,14.88
92.285156,18.02
92.468262,13.93
92.651367,20.19
92.834473,8.77
93.017578,15.23
93.200684,5.76
93.383789,19.33
93.566895,24.49
93.750000,21.54
93.933105,19.07
94.116211,8.64
94.299316,-0.37
94.482422,12.60
94.665527,22.45
94.848633,26.08
95.031738,20.73
95.214844,19.90
95.397949,13.24
95.581055,27.06
95.764160,10.29
95.947266,22.85
96.130371,19.74
96.313477,19.73
96.496582,20.22
96.679688,3.67
96.862793,20.93
97.045898,8.84
97.229004,16.16
97.412109,15.92
97.595215,12.55
97.778320,21.38
97.961426,15.26
